[1.0791148378451898]
[1.2290375308922643]
[1.2463779724695203]
[1.2720759010490896]
[1.2962746763775317]
[1.3108287576753015]
[1.3024141848048147]
[1.3060020961486742]
[1.3033943988045373]
[1.2960951199498791]
[1.291847666440649]
[1.2902590354369927]
[1.2928770152089424]
[1.2941239412036696]
[1.2916215028776654]
[1.2939777135474926]
[1.302699473616554]
[1.3057206111072657]
[1.3059935502807134]
[1.3065795496479407]
[1.3068102271288913]
[1.3069453295375437]
[1.3072468985860852]
[1.308090087463614]
[1.31003664558353]
[1.3131536706767197]
[1.3157204828790365]
[1.3140847132094202]
[1.3129890199345082]
[1.3141766607615253]
[1.3149958334097014]
[1.3155325932493214]
[1.3159205215550744]
[1.3158869369067938]
[1.3156741475888274]
[1.3159560608237002]
[1.3165737792632854]
[1.3172321861120948]
[1.317131351046203]
[1.316877619818535]
[1.3151303389282192]
[1.3122659437814885]
[1.3082675157872545]
[1.302108264396225]
[1.2987950851724266]
[1.2968438278081083]
[1.2972565324909135]
[1.2992541713282537]
[1.2998168821091558]
[1.2986754229509496]
[0.9703427666883861]
[0.9424841134790296]
[0.7697164746046794]
[0.5793396761034799]
[0.6022170401456015]
[0.7254267758661372]
[0.7869408751484435]
[0.8283797618838142]
[0.8306741522103227]
[0.8764537339950049]
[0.8850799764695108]
[0.8434140159009811]
[0.793303554487045]
[0.8021641023782315]
[0.8238318237659619]
[0.8681164125251435]
[0.9060916170071582]
[0.9221898569281013]
[0.9025871549034625]
[0.8840519658395665]
[0.8756518686668762]
[0.8566788523595612]
[0.827874132524085]
[0.8086956006310806]
[0.8050367765133535]
[0.7861712184607086]
[0.7971607238778073]
[0.8228897181433581]
[0.8000096575403193]
[0.8041769395826273]
[0.799612909128224]
[0.8105347751075143]
[0.7998410559247113]
[0.7942106236580333]
[0.7732933398295976]
[0.7642765828853335]
[0.7235965143420002]
[0.7049515374411035]
[0.7125722369810843]
[0.7116377416719866]
[0.7158386463651967]
[0.6959030712716876]
[0.6752061965525473]
[0.6707869584732835]
[0.6600180041090358]
[0.6547480150913008]
[0.660620947544833]
[0.6639786014628979]
[0.6699592738979971]
[0.6798348517975557]
[0.4021537461299358]
[0.7660197123146459]
[1.1311442131400535]
[1.0731554562894243]
[0.9171734544517558]
[0.76692249581013]
[0.7238327903123389]
[0.6833320993846517]
[0.7287260096743386]
[0.9141919466776387]
[1.0008235824230396]
[1.0809489274788042]
[1.0656827348513889]
[1.1035232668986978]
[1.1740137839234182]
[1.1779457907998019]
[1.2240040592651145]
[1.18593717573027]
[1.163967366506887]
[1.151081199315251]
[1.1063561508128776]
[0.9487909956585288]
[0.8397327812919855]
[0.7234125863173166]
[0.6372037856929733]
[0.5720831640110955]
[0.5588449338603385]
[0.6377081125859583]
[0.6591096194585884]
[0.6591822986055615]
[0.6484953556408684]
[0.584232747993032]
[0.5542785883171346]
[0.5068625957832444]
[0.4879390992181909]
[0.40622060119732994]
[0.41278429458150123]
[0.4158725704148334]
[0.4041470520465018]
[0.39419447991033874]
[0.3050288499404954]
[0.226192212304964]
[0.21802717376954872]
[0.2280817711550016]
[0.2574194293581433]
[0.2800062664740337]
[0.329000749271668]
[0.3946458053340285]
[0.4211106100815041]
[0.35613172322605235]
